model_name,key_technique,architecture,limitations,fixes
MoLoRAG,"Logic-aware retrieval framework. Builds a page graph by encoding pages with ColPali and connecting pairs whose embedding similarity exceeds a threshold. A VLM (Qwen2.5-VL-3B by default) acts as the retrieval engine and traverses the graph: starting from top-w semantically scored seed pages, it iteratively scores unvisited neighbours by combining a semantic relevance score (from the doc encoder) with a logical relevance score (from the VLM, prompted to reason about question-page logical fit), until a hop budget is reached. Top-K visited pages are passed to an arbitrary LVLM for QA. MoLoRAG+ adds fine-tuning of the VLM on GPT-4o-curated relevance triplets.","Agentic Pipeline / Retriever-Generator hybrid (graph-based). ColPali for embeddings + Qwen2.5-VL as graph-traversal engine + arbitrary downstream LVLM (Qwen/DeepSeek/LLaVA) for answer generation.","Graph construction relies on a similarity threshold (sensitive). Multi-hop traversal multiplies VLM inference calls. Logical-relevance scoring is prompt-dependent. Cannot recover from completely missing edges in the page graph.","Directly addresses the semantic-only retrieval failure of M3DocRAG and MDocAgent, which retrieve pages with overlapping keywords but missing the actual answer. Aligns with KGP in adopting graph-based retrieval but extends it to multi-modal page graphs (KGP is text-only). Influences DFVC's cross-page-context idea by demonstrating logical relevance matters."
mPLUG-DocOwl2,"High-resolution DocCompressor that uses cross-attention with the global low-resolution feature map as queries and the spatially-corresponding sub-image features as keys/values, compressing each high-resolution document image into 324 tokens regardless of resolution while preserving layout-aware groupings. Inserted after the H-Reducer V2T module so compression operates in the LLM's textual feature space. Three-stage training: single-image pretraining, multi-image continue-pretraining, multi-task fine-tuning.","Backbone-Centric MLLM Adaptation. ViT-L/14 visual encoder (low-resolution) + shape-adaptive cropping + H-Reducer V2T + High-res DocCompressor + mPLUG-Owl2 LLM backbone. OCR-free.","324 tokens/page may still under-represent text-dense pages. Compression quality depends on the global feature map's coverage. Training pipeline is multi-stage and data-heavy. Does not retrieve or iterate; performance degrades on documents exceeding context limit.","Designed against the 1k-3k visual-tokens-per-page cost of UReader/Monkey/InternVL/InternLM-XComposer that prevents multi-page processing. Improves over independent per-crop compression (TokenPacker) and learnable-query compression (Q-former, Resampler) by exploiting layout structure. Sets the OCR-free multi-page baseline that DocSLM, Texthawk2, Leopard and Docopilot compare against."
MultiDocFusion,"Multimodal chunking pipeline with four stages: (a) Document Parsing (DETR/VGT) detects layout regions and bounding boxes; (b) OCR (Tesseract/EasyOCR/TrOCR) extracts text per region; (c) DSHP-LLM, an instruction-tuned LLM (Llama-3.2-3B / Qwen-2.5-3B / Mistral-8B with LoRA), constructs a Document Hierarchical Tree by inferring header parent-child links and attaching general nodes (tables, figures, text) by spatial order; (d) DFS-based Grouping traverses the tree to produce hierarchical chunks marked by Markdown headers, splitting when a max-length is exceeded.","Retriever-Generator (chunking-side enhancement). DP+OCR pipeline + DSHP-LLM for hierarchy reconstruction + standard RAG with BGE/E5/BM25 retrievers and LLaMA generator.","Heavy multi-stage pipeline; DP/OCR errors propagate. DSHP-LLM requires fine-tuning. Hierarchy inference can fail on poorly structured scans. Still text-centric; no native image retrieval.","Addresses the problem that fixed-length / semantic chunking (LumberChunker, Perplexity chunking, StyleDFS) ignores document hierarchy and breaks evidence across chunk boundaries on long industrial documents. Complements DocAgent's outline construction and MHier-RAG's parent-page retrieval by providing a more accurate hierarchy-construction recipe."
PDF-WuKong,"End-to-end sparse sampling MLLM for long PDFs with interleaved text and images. A document parser extracts text blocks and figure/table images; a sparse sampler encodes them with a text encoder and a shared image encoder, computes similarity to the user query and selects the top-K most relevant text and image evidences. Trained end-to-end with contrastive loss over positive (annotated evidence) and negative (random) samples, jointly with the LLM. Provides PaperPDF, a bilingual 1.1M-QA dataset with annotated evidence sources.","Retriever-Generator (end-to-end). Document parser + shared visual encoder (also used by the LLM) + IXC2-VL-4KHD as both text encoder and LLM backbone. Sparse sampler trained jointly with the answerer.","Requires positive evidence annotations for training. Quality of document parsing bounds performance. Sampler-LLM coupling means swapping LLMs requires retraining. Sparse sampling may miss multi-evidence questions if K is small.","Directly addresses the dichotomy between pure-text RAG (loses visual info) and pure-vision MLLM (token explosion); positions itself between Hi-VT5/GRAM/Fox/CREAM/DocOwl2-style page-level encoding (still linear) and dense long-context LLMs. Demonstrates that joint training of retriever and generator beats fixed-pipeline RAG (M3DocRAG)."
RAG-DocVQA,"Systematic study of RAG for multi-page DocVQA. Textual RAG variant: OCR text is chunked with overlap and tolerance, embedded with bge-en-small-v1.5 (fine-tuned via Multiple-Negatives Ranking), retrieved by cosine similarity, then re-ranked by a cross-encoder; the top-K chunks (text + bounding boxes + image crops) are concatenated and fed to VT5 or Qwen2.5-VL-7B. Visual RAG variant uses Pix2Struct's encoder to embed overlapping vertical patches of page images, retrieved via ColBERT-style late interaction; selected patches are stacked and decoded by Pix2Struct.","Retriever-Generator. Three model variants: VT5 (textual RAG), Qwen2.5-VL-7B (textual RAG), Pix2Struct (visual RAG). DiT visual encoder used inside VT5 variant; bi-encoder + cross-encoder for textual retrieval.","Layout-guided chunking strategies were found NOT to help on these datasets (challenges the assumption that layout-aware chunking helps RAG). Visual RAG patch grids may break visual context. Cross-encoder reranking adds latency. Per-dataset fine-tuning of embedder is required.","Demonstrates that simple RAG can replace concatenate-all-pages baselines and very large LVLMs (Qwen2.5-VL-7B) on MP-DocVQA/DUDE/InfoVQA, addressing the memory-hungry inefficiency of Hi-VT5/Qwen2.5-VL on multi-page inputs. Provides a head-to-head ablation of textual vs visual RAG that complements pure-vision retrievers (M3DocRAG, VDocRAG)."
RM-T5,"Recurrent Memory Transformer adapted to MP-DocVQA. Each page is processed in sequence by a T5 encoder that takes as input the previous page's m memory tokens (default 100), the textual question and the current page's OCR text + DiT visual patches. The encoder updates the memory tokens, which carry context to the next page. After all pages, all per-page memory tokens are concatenated and passed to the T5 decoder for answer generation. Curriculum pre-training adds one page at a time. An answer-page-prediction module provides explainability.","Hierarchical Document Transformer (recurrent variant). DiT visual encoder + T5-base recurrent encoder + T5 decoder.","Recurrent processing means later pages have indirect access to early pages only via memory; long documents may suffer from forgetting. Memory size is fixed (100 tokens). Training requires curriculum strategy. Cannot revisit earlier pages once their memory has been overwritten.","Targets the lack of cross-page context in Hi-VT5 (each page encoded independently before decoding) and the quadratic cost of concatenation-based methods. Provides a low-parameter alternative to GRAM's local-global attention by using recurrence instead of global tokens. Inspired by Transformer-XL and the original RMT for NLP."
Self-Attention Scoring,"OCR-free multi-page DocVQA: rendering questions as images and concatenating them on top of page images for Pix2Struct. Two-stage training: (i) train Pix2Struct on positive question-page pairs only (single-page DocVQA); (ii) freeze the encoder and train a Self-Attention Scoring module (a self-attention layer + linear head with dropout) on positive + one randomly sampled negative page per document with MSE loss + label smoothing. At inference, every page is scored independently and Top-1 is decoded by Pix2Struct. Extends MP-DocVQA evaluation to 793-page documents.","Retriever-Generator. Pix2Struct as both retriever (encoder + scoring head) and generator (encoder + decoder). Pure-vision pipeline with no OCR.","Strict Top-1 page selection cannot answer questions whose evidence spans multiple pages. Fully visual representation requires sufficient image resolution and may miss small text. Sampling only one negative per document limits training signal. Frozen encoder caps adaptability.","Demonstrates that single-page Pix2Struct can be extended to arbitrary-length documents with minimal GPU resource usage, addressing Hi-VT5's per-page token cost and OCR dependency. Sets a lightweight baseline for retrieval-then-read that AVIR and DFVC later refine (replacing Top-1 with adaptive selection or fused embeddings)."
SimpleDoc,"Two-stage framework. Offline: each page is indexed twice as a ColPali visual embedding and a 3-5 sentence VLM-generated semantic summary. Online: dual-cue retrieval first shortlists pages by embedding similarity then asks an LLM to re-rank/filter using the summaries. A single VLM reasoner agent inspects the retrieved pages along with a working memory (initialised with a doc-level summary) and either answers, declares unanswerable, or emits a refined query for another retrieval round (max L iterations). Memory is updated with notes from each iteration.","Agentic Pipeline. ColQwen-2.5 for visual embeddings + Qwen / Claude / Gemini family for both summarisation and reasoning. Single agent (no role specialisation) over a dual-cue retriever.","Quality of pre-computed summaries bounds the re-ranker. Iterative loop adds latency. Working memory is text-only; visual evidence not preserved between rounds. Limited tool use compared to DocAgent or DocLens.","Targets the over-engineered multi-agent pipelines (MDocAgent, ViDoRAG) by showing a single VLM agent with good retrieval can match or beat them. Improves M3DocRAG by iterating retrieval until evidence is sufficient and by re-ranking with semantic summaries instead of pure embedding similarity. Influences Doc-V*, DocLens and DocDancer in promoting iterative single-agent designs."
Texthawk2,"Bilingual LVLM with 16x visual-token compression via TextHawk's two-step resampling+rearrangement (each step reduces tokens by 4x). Visual encoder is unified SigLIP-SO400M reinforced via LVLM co-training to transfer to previously unseen tasks like Chinese OCR and grounding. Adds a detection head with special coordinate tokens (representing a bounding box in 7 tokens vs 25 for a digit string) trained jointly with an L1 loss for grounding. Dynamic high-resolution cropping (up to 72 sub-images / 1.8M pixels at SFT). Pre-trained on ~100M diverse samples.","Backbone-Centric MLLM Adaptation. Unified SigLIP-SO400M visual encoder + meticulous resampler + Qwen2-7B-Instruct backbone + auxiliary detection head. OCR-free.","16x compression may still miss extremely fine text on huge documents. Detection-head grounding requires special coordinate-token vocabulary. No explicit multi-page/agent reasoning module; multi-page support comes from sub-image cropping plus LLM context.","Targets the high token cost of dual-encoder (CogAgent, MiniGemini) and large-token (UReader, TextMonkey) text-rich LVLMs. Tackles the trade-off between OCR accuracy and grounding ability that competitor LVLMs (GPT-4o, InternVL 1.5) struggle to balance. Provides a strong single-encoder OCR-free backbone alternative to mPLUG-DocOwl2 and DocSLM."
VDocRAG,"LVLM-based dual-encoder retriever (VDocRetriever) that compresses each high-resolution document image into a single dense <EOS>-token embedding, with a generator (VDocGenerator) using the retrieved image directly. Two new self-supervised pre-training tasks transfer LVLM capabilities to retrieval: Representation Compression via Retrieval (RCR) - InfoNCE between OCR-text and image <EOS> embeddings; Representation Compression via Generation (RCG) - generate OCR text from the compressed embedding. LoRA-tunes both retriever and generator on top of Phi-3-Vision. Releases OpenDocVQA, the first open-domain DocVQA collection with multi-hop questions.","Retriever-Generator. Phi3V-4.2B as backbone for both retriever and generator. Dynamic high-resolution image encoding + projector + LoRA-tuned LLM. Pure-vision retrieval (no OCR at inference).","Compressing entire image to a single <EOS> embedding loses some fine-grained information. Pre-training requires OCR (used as pseudo-targets). Performance bound by base LVLM backbone's resolution. No iterative or agentic refinement.","Addresses the limitations of conventional text-based RAG (parsing-induced information loss) and previous visual retrievers like ColPali/VisRAG (no retrieval-specific pre-training). Establishes that LVLMs need retrieval-oriented adaptation to bridge generative pre-training and retrieval. Provides the OpenDocVQA benchmark used by later open-domain methods."
ViDoRAG,"Multi-modal hybrid retrieval with adaptive Top-K via Gaussian Mixture Model: the GMM models retrieval-score distribution to dynamically choose how many pages to keep per query, then visual + textual pipelines are fused. Multi-Scale View Generation uses three agents: a Seeker rapidly scans thumbnails and selects relevant images; an Inspector reviews them and provides reflection + preliminary answer; an Answer Agent ensures consistency and gives the final answer. Releases ViDoSeek, the first large-scale collection of unique-answer queries across ~6k images for evaluating RAG over corpora.","Agentic Pipeline. NV-Embed-V2 + ColQwen2 for retrieval; multiple Qwen / LLaMa / GPT variants as agents. Coarse-to-fine multi-agent generation with thumbnail-then-detail pattern.","Three-agent pipeline plus GMM-based hybrid retrieval is computationally heavy. GMM fitting may misbehave on very small or very uniform score distributions. Performance hinges on consistency between agents; conflicts can lead to inferior answers.","Addresses the static Top-K problem of M3DocRAG and the under-utilised reasoning of single-agent RAG. Influences (and is contemporaneous with) AVIR's adaptive selection but uses GMM rather than k-means. Tackles the gap that prior VQA datasets are not built for large-corpus RAG by providing ViDoSeek with unique answers and reference pages."
